"CD8+ CD4-_CD127+","CD8+ CD4-_CD197. CD127 subset","CD8+ CD4-_Q1: CD45-RA- . CD27+","CD8+ CD4-_Q2: CD45-RA+ . CD27+","CD8+ CD4-_Q3: CD45-RA+ . CD27-","CD8+ CD4-_Q4: CD45-RA- . CD27-"
99998.9281644714,98813.7162054478,-484.047249804356,100504.565046511,307.597316547689,-894.073871195483
101143.464176274,1793.04779432783,-1036.50035944024,1692.05954685399,100478.369221776,388.505366450948
-3390.35175625713,-59.589424405522,358.287573827778,-878.982359294702,98013.0306734314,653.584960865475
100084.726095766,197.830969864536,100241.821064902,1219.03699812741,-1149.95142603017,2981.03473448722
101900.551845549,20.9660862458271,100778.058825953,-938.528001990258,-2958.71530002443,348.612365414376
98511.1562637334,-1300.55221807654,99714.2393745407,69.3270819022594,1124.44776256626,-91.0160421176924
80.2803820820585,-625.745758073182,618.545936531333,-1671.6417637912,100033.665378593,-1500.89489825644
378.678264494678,585.841573416308,-51.8549046576811,180.099943295548,101176.50308293,1053.45665148951
99561.9644413174,-585.482693296565,1512.37124433062,353.814779130305,100813.207464545,1273.11091314113
99153.6375446466,-956.973155241159,-1818.1751644467,-2411.96544097764,100323.551952028,-1172.31380103303
99322.0254059479,13.7340848818372,504.678073005229,-1014.65100859573,99949.0833682765,860.229669290893
99431.3071253805,-289.738616024715,101184.788082129,-945.501348063895,-800.61786622561,633.814374494494
98646.8154343674,1127.91912274083,281.316169120148,-1011.88301922623,100754.974613627,1364.63568850383
99753.4430327368,101535.677819251,-317.519033312066,1029.29297340206,100061.44678385,-822.700231827349
99214.5515655036,99496.7362403134,102111.978017677,703.226719337756,1757.85328667674,-997.042247365586
99278.3588978927,-726.345559598597,98463.3735388394,1736.28927913185,1746.48690839432,-355.280473587301
98291.4815353453,476.315871254613,99926.8150321362,-2179.42522189884,923.467509443504,74.0021917239178
97951.6453297376,101086.492217655,102062.422287535,-781.431733661287,549.858765363038,666.663977235172
101889.100121663,-242.5879430873,101045.133780979,-1244.91861127222,1402.5199448424,-981.967103518269
501.804453919616,-630.364207942881,1563.61693988249,-583.4693012403,98749.2829999631,539.978403843437
100426.247760651,1069.3928553794,99887.5777403833,-516.868514003232,-720.337651624767,731.094839088206
101658.320512815,-776.22265872317,813.483764328669,491.040865709988,101240.337654967,-212.019009017351
100145.250423668,346.528799904056,-1880.10901088892,97592.8443648216,-849.659294113799,645.985836161898
1102.58328568433,-720.541594534043,-3100.29109721328,-467.514533411409,100294.275379004,984.875856998434
98399.0943816363,990.170656075794,-493.155700756919,-86.4275118057333,100575.922695487,23.5400100112874
101375.268143742,-1072.98075515048,99313.1985681176,-998.402376999071,372.830427932924,255.675772818341
-1374.55500474159,-555.566908156123,98899.4648441191,967.570626590329,-586.308952068757,696.507090364298
1253.51485693092,527.743116960407,-1576.24829459714,1140.05572008198,2572.88572264412,1291.96430690741
101407.349736913,-1297.19785575821,1061.92671374966,99.0881448556353,-840.09372194703,99133.3377373256
1688.75961442239,35.3098078128208,183.507148699577,1753.19572448132,99774.124299785,177.999295857411
