"CD8+ CD4-_ezDAFi_CD127+","CD8+ CD4-_ezDAFi_CD197. CD127 subset","CD8+ CD4-_ezDAFi_Q1: CD45-RA- . CD27+","CD8+ CD4-_ezDAFi_Q2: CD45-RA+ . CD27+","CD8+ CD4-_ezDAFi_Q3: CD45-RA+ . CD27-","CD8+ CD4-_ezDAFi_Q4: CD45-RA- . CD27-"
100299.426517073,101542.45294936,100231.255984153,100617.555342565,170.547295011567,767.853022681327
102114.198967859,-660.945660355625,-854.34031723905,-751.857165934837,2128.82478392945,100639.436057229
1030.61168118523,1846.05476079648,-283.054419632043,-842.315039589574,99045.8018800147,1287.04371513834
99611.0075191893,-292.594594904607,99976.0838595862,743.632614381377,-423.884788605116,-607.587596346346
99691.6864116401,-2850.67196515972,101106.307382563,-817.619865665695,-913.633526401131,1359.97351009983
100589.137810855,-2532.68200778017,99317.1315529422,326.79269533938,-235.402188719368,21.4371332431992
-1161.09679177293,3108.38453926527,-390.59534982326,1116.85302285396,99748.488340022,228.994492525928
98716.8975529086,-921.808413427777,1440.38575286687,-1802.55304680198,99395.8490055638,-375.066898270346
37.3665053155405,-822.109023320214,616.514764766549,427.004201043452,97801.8750649261,99600.4214890693
98601.8795833508,-1058.28404662922,-955.499629177338,349.597647569232,100200.866137856,-970.900991701818
100324.164658105,133.294971383136,427.68056616944,-1165.19964477141,98114.3846232126,68.6180185107924
99166.7858517693,938.539836855118,73.4983545383432,-704.959942173187,-745.028587137334,99762.0279754618
99688.8814087857,1318.15484192458,886.885960630564,-634.733915630627,100114.813772084,1443.13948106372
98416.3794893437,101832.074297856,99143.1898512118,857.012788820808,1571.49221316979,-681.284774623379
101799.274442354,98878.2642446137,100332.598956744,58.2011075334211,97.2521616335822,798.974551662483
99418.2747340731,879.071669728929,100632.004608992,-108.504704034098,-436.196994578082,-912.407830522247
98692.6605587474,101014.541993415,100416.032028958,-1772.55943613702,-308.11156473183,-166.89577906327
100033.792321026,99659.7653662073,100942.42915592,476.04641877774,1612.78914999319,2329.15587742826
100482.249663663,-175.626549408026,102032.381761776,-88.5937972915485,-608.608438320069,966.164270499593
-1164.63491622814,-60.4533308494465,-520.186581510725,586.334714084956,98891.6661512029,-1322.7349487401
101528.360740015,266.206125330374,98478.6789585956,1827.32279306727,-529.854510402925,1738.12482633396
100677.754349708,-532.741999387665,272.621777058307,-464.124725525204,100621.088846757,1311.67749423277
98127.7727441588,379.072342567323,591.790191346487,-196.156656855912,336.704162721695,1025.89722885963
99349.5947931679,-707.637300520254,-595.601463429161,-499.76805550442,99998.1922136743,217.567620520247
100231.734653858,-727.689505455248,150.90256239975,719.165892225511,101508.578044609,-922.45924082085
100948.056605079,-1105.96711447134,99670.9692929596,-1838.80796861436,-591.582520348629,-1101.14430290762
